symbol,expiry_date,snapshot_date,futures_price,prev_price,price_chg_pct,open_interest,oi_change,volume_contracts,oi_chg_pct,buildup_type,buildup_strength,company_name,sector,market_cap_tier,is_nifty50,is_banknifty,is_nifty_next50,has_earnings_this_week,earnings_date,days_to_earnings
BAJAJFINSV,2026-08-25,2026-08-13,2029.8,2023.2,0.33,7494000,-42300,1411,-0.56,Neutral,Weak,Bajaj Finserv,Financial Services,large,True,False,False,False,,
BAJFINANCE,2026-08-25,2026-08-13,1093.5,1093.4,0.01,53659500,-72750,2654,-0.14,Neutral,Weak,Bajaj Finance,Financial Services,large,True,False,False,False,,
BANDHANBNK,2026-08-25,2026-08-13,175.55,175.09,0.26,129484800,-583200,217,-0.45,Neutral,Weak,Bandhan Bank,Banking,mid,False,True,False,False,,
BANKBARODA,2026-08-25,2026-08-13,249.26,251.1,-0.73,129823200,-93600,1777,-0.07,Neutral,Weak,Bank of Baroda,Banking,mid,False,False,True,False,,
BEL,2026-08-25,2026-08-13,410.95,405.5,1.34,97712250,-2086200,8613,-2.09,Short Covering,Moderate,Bharat Electronics,Capital Goods,large,True,False,False,False,,
BHARTIARTL,2026-08-25,2026-08-13,1948.6,1947.7,0.05,52702675,-164825,15686,-0.31,Neutral,Weak,Bharti Airtel,Telecom,large,True,False,False,False,,
BHEL,2026-08-25,2026-08-13,419.4,419.6,-0.05,73990875,-6326250,6391,-7.88,Neutral,Weak,BHEL,Infrastructure,mid,False,False,True,False,,
BIOCON,2026-08-25,2026-08-13,421.05,427.75,-1.57,48022500,87500,3581,0.18,Neutral,Weak,Biocon,Pharmaceuticals,mid,False,False,False,False,,
BOSCHLTD,2026-08-25,2026-08-13,46900.0,46555.0,0.74,206350,2050,1821,1.0,Neutral,Weak,Bosch,Automobile,mid,False,False,True,False,,
BPCL,2026-08-25,2026-08-13,316.55,316.2,0.11,39460500,-1975,876,-0.01,Neutral,Weak,BPCL,Oil & Gas,large,False,False,False,False,,
BRITANNIA,2026-08-25,2026-08-13,5612.5,5600.5,0.21,1811500,-18625,2174,-1.02,Neutral,Weak,Britannia Industries,Consumer Goods,large,False,False,False,False,,
CAMS,2026-08-25,2026-08-13,774.4,780.65,-0.8,7547925,96525,812,1.3,Neutral,Weak,CAMS,Financial Services,mid,False,False,False,False,,
CANBK,2026-08-25,2026-08-13,131.66,131.95,-0.22,372876750,-931500,1638,-0.25,Neutral,Weak,Canara Bank,Banking,mid,False,False,True,False,,
CHOLAFIN,2026-08-25,2026-08-13,1919.7,1907.7,0.63,12806250,63125,1301,0.5,Neutral,Weak,Cholamandalam Finance,Financial Services,mid,False,False,True,False,,
CIPLA,2026-08-25,2026-08-13,1466.5,1466.9,-0.03,9051225,73100,922,0.81,Neutral,Weak,Cipla,Pharmaceuticals,large,True,False,False,False,,
COALINDIA,2026-08-25,2026-08-13,409.8,410.3,-0.12,78495750,-141750,1755,-0.18,Neutral,Weak,Coal India,Metals & Mining,large,True,False,False,False,,
COFORGE,2026-08-25,2026-08-13,1833.6,1811.6,1.21,14100850,133000,3084,0.95,Neutral,Weak,Coforge,Information Technology,mid,False,False,False,False,,
COLPAL,2026-08-25,2026-08-13,1994.3,2006.3,-0.6,5210425,36850,2134,0.71,Neutral,Weak,Colgate Palmolive,Consumer Goods,mid,False,False,True,False,,
CONCOR,2026-08-25,2026-08-13,538.6,515.5,4.48,22926250,1160000,4464,5.33,Long Buildup,Moderate,Container Corporation,Infrastructure,mid,False,False,False,False,,
CROMPTON,2026-08-25,2026-08-13,248.1,248.7,-0.24,67123000,-344000,1349,-0.51,Neutral,Weak,Crompton Greaves Consumer,Consumer Goods,mid,False,False,False,False,,
CUMMINSIND,2026-08-25,2026-08-13,5349.5,5387.0,-0.7,4471400,56800,1068,1.29,Neutral,Weak,Cummins India,Infrastructure,mid,False,False,False,False,,
DABUR,2026-08-25,2026-08-13,410.75,407.85,0.71,27023750,-265000,1290,-0.97,Neutral,Weak,Dabur India,Consumer Goods,mid,False,False,True,False,,
DALBHARAT,2026-08-25,2026-08-13,1831.0,1841.9,-0.59,3447925,-34775,598,-1.0,Neutral,Weak,Dalmia Bharat,Cement,mid,False,False,False,False,,
DELHIVERY,2026-08-25,2026-08-13,470.6,472.3,-0.36,26128400,4150,3024,0.02,Neutral,Weak,Delhivery,Infrastructure,mid,False,False,False,False,,
DIVISLAB,2026-08-25,2026-08-13,8488.5,8487.0,0.02,2738900,-59300,2028,-2.12,Neutral,Weak,Divis Laboratories,Pharmaceuticals,large,False,False,False,False,,
DLF,2026-08-25,2026-08-13,666.3,660.9,0.82,49080800,-69350,4273,-0.14,Neutral,Weak,DLF,Real Estate,large,False,False,False,False,,
DRREDDY,2026-08-25,2026-08-13,1200.0,1192.8,0.6,14308125,655000,3778,4.8,Neutral,Weak,Dr Reddys Laboratories,Pharmaceuticals,large,True,False,False,False,,
